t,error
0.0000000000000000,0.0000000000000000
0.0025000000000000,0.1596594054406534
0.0050000000000000,0.1020093956463153
0.0075000000000000,0.0734014297752796
0.0100000000000000,0.0652104337425345
0.0125000000000000,0.0571182763279145
0.0150000000000000,0.0525007702382641
0.0175000000000000,0.0484861051589556
0.0200000000000000,0.0453915740529807
0.0225000000000000,0.0427870717083909
0.0250000000000000,0.0405997119426885
0.0275000000000000,0.0387145585220141
0.0300000000000000,0.0370725276950548
0.0325000000000000,0.0356238619810053
0.0350000000000000,0.0343338093874015
0.0375000000000000,0.0331751672395558
0.0400000000000000,0.0321270496402053
0.0425000000000000,0.0311728771499107
0.0450000000000000,0.0302993799508767
0.0475000000000000,0.0294957673212483
0.0500000000000000,0.0287531710554493
0.0525000000000000,0.0280642233130153
0.0550000000000000,0.0274227461284115
0.0575000000000000,0.0268235147984161
0.0600000000000000,0.0262620767516761
0.0625000000000000,0.0257346106551402
0.0650000000000000,0.0252378157703787
0.0675000000000000,0.0247688241172022
0.0700000000000000,0.0243251301069876
0.0725000000000001,0.0239045336761727
0.0750000000000001,0.0235050939636322
0.0775000000000001,0.0231250912957444
0.0800000000000001,0.0227629957737555
0.0825000000000001,0.0224174411493840
0.0850000000000001,0.0220872029675326
0.0875000000000001,0.0217711801759206
0.0900000000000001,0.0214683795697728
0.0925000000000001,0.0211779025689703
0.0950000000000001,0.0208989339251607
0.0975000000000001,0.0206307320344242
0.1000000000000001,0.0203726205924186
0.1025000000000001,0.0201239813774706
0.1050000000000001,0.0198842479856835
0.1075000000000001,0.0196529003730641
0.1100000000000001,0.0194294600845827
0.1125000000000001,0.0192134860702244
0.1150000000000001,0.0190045710045300
0.1175000000000001,0.0188023380395099
0.1200000000000001,0.0186064379318811
0.1225000000000001,0.0184165464946410
0.1250000000000001,0.0182323623305688
0.1275000000000001,0.0180536048114970
0.1300000000000001,0.0178800122724639
0.1325000000000001,0.0177113403942290
0.1350000000000001,0.0175473607513750
